name,latency,throughput
asimd_fp_fadd_double,4.00,0.00
asimd_fp_fadd_single,5.00,0.00
asimd_fp_fmla_single,4.00/5.00,0.00
asimd_fp_fmul_double,5.00,0.00
asimd_fp_fmul_single,5.00,0.50
asimd_int_add_double,2.00,0.50
asimd_int_add_half,2.00,0.50
asimd_int_add_single,2.00,0.50
asimd_int_mul_half,7.00,0.00
asimd_int_mul_single,7.00,0.00
fp_fadd_double,4.00,0.50
fp_fadd_single,5.00,0.50
fp_fdiv_double,6.00,0.00
fp_fdiv_single,6.00,0.00
fp_fmadd_single,4.00/5.00,0.50
fp_fmul_double,5.00,0.50
fp_fmul_single,5.00,0.50
fp_fsqrt_double,9.00,0.00
fp_fsqrt_single,7.00,0.00
int_add,1.00,0.33
int_madd,1.00/4.00,1.00
int_mul,4.00,1.00
int_sdiv,6.00,5.00
int_smull,3.00,1.00
int_udiv,6.00,5.00
