name,latency,throughput
fp_fadd_d,3.00,0.25
fp_fadd_s,3.00,0.25
fp_fmadd_d,5.00,0.50
fp_fmadd_s,5.00,0.50
fp_fmul_d,5.00,0.50
fp_fmul_s,5.00,0.50
int_add32,1.00,0.25
int_add64,1.00,0.25
int_crc_w_b_w,1.00,0.50
int_crc_w_d_w,1.00,0.50
int_crc_w_h_w,1.00,0.50
int_crc_w_w_w,1.00,0.50
int_crcc_w_d_w,1.00,0.00
int_crcc_w_w_w,1.00,0.00
int_div64,19.00,0.00
int_mul32,4.00,0.50
int_mul64,4.00,0.50
lasx_fp_vfadd_d,3.00,0.25
lasx_fp_vfmul_d,5.00,0.50
lasx_int_vadd_d,1.00,0.25
lasx_int_vmul_d,4.00,0.50
lsx_fp_vfadd_d,3.00,0.25
lsx_fp_vfmul_d,5.00,0.50
lsx_int_vadd_d,1.00,0.25
lsx_int_vmul_d,4.00,0.50
