name,latency,throughput
fp_fadd_d,5.00,0.50
fp_fadd_s,5.00,0.50
fp_fmadd_d,5.00,0.50
fp_fmadd_s,5.00,0.50
fp_fmul_d,5.00,0.50
fp_fmul_s,5.00,0.50
int_add32,1.00,0.25
int_add64,1.00,0.25
int_crc_w_b_w,5.00,3.50
int_crc_w_d_w,19.00,10.50
int_crc_w_h_w,7.00,4.50
int_crc_w_w_w,11.00,6.50
int_crcc_w_d_w,19.00,0.00
int_crcc_w_w_w,11.00,0.00
int_div64,4.00,0.00
int_mul32,4.00,0.50
int_mul64,4.00,0.50
lasx_fp_xvfadd_d,5.00,0.50
lasx_fp_xvfmadd_d,5.00,0.50
lasx_fp_xvfmul_d,5.00,0.50
lasx_int_xvadd_d,1.00,0.50
lasx_int_xvmul_d,4.00,0.50
lsx_fp_vfadd_d,5.00,0.50
lsx_fp_vfmadd_d,5.00,0.50
lsx_fp_vfmul_d,5.00,0.50
lsx_int_vadd_d,1.00,0.50
lsx_int_vmul_d,4.00,0.50
